日期,品牌ID,品牌名称,门店ID,门店名称,城市,平台,平台i,平台门店名称,GMV,商家实收,门店曝光量,门店访问量,门店下单量,无效订单,有效订单,曝光人数,进店人数,下单人数,cpc总费用,cpc曝光量,cpc访问量,商户补贴,平台补贴
2020-03-24,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,535.13,197.66,820,74,10,0,10,820,74,10,39.3,658,37,282,52
2020-03-24,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,842.06,277.11,1377,74,12,0,12,1377,74,12,43.4,327,26,489,40
2020-03-24,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1096.11,379.32,900,57,19,1,18,900,57,17,26.23,275,19,613,64
2020-03-25,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1198.9,386.19,1622,114,21,0,21,1622,114,20,44.7,511,37,687,51
2020-03-25,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,495.56,179.71,787,52,9,0,9,787,52,9,35.19,528,29,266,43
2020-03-25,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,588.06,201.38,774,35,10,0,10,774,35,10,5.81,56,6,328,24
2020-03-25,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),644.99,213.41,802,57,11,0,11,802,57,11,14.32,126,12,371,31
2020-03-26,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1117.31,417.47,1924,132,17,0,17,1924,132,15,46.39,538,36,587,24
2020-03-26,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,721.7,313.35,969,89,11,0,11,969,89,10,60,848,50,334,47
2020-03-26,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1385.08,489.67,983,80,22,1,21,983,80,21,25.2,326,20,759,64
2020-03-27,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1220.96,476.12,1731,123,18,1,17,1731,123,17,36.1,522,29,629,40
2020-03-27,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,772.45,308.24,2176,158,13,0,13,2176,158,12,20.57,286,17,389,53
2020-03-27,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1478.17,570.27,947,71,24,1,23,947,71,22,20.77,179,19,760,67
2020-03-28,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1779.61,707.35,1803,145,24,0,24,1803,145,23,44.8,534,38,878,36
2020-03-28,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,1220.95,577.14,2090,155,20,0,20,2090,155,20,18.38,484,20,626,90
2020-03-28,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯麻辣烫(五角场店),784.71,263.39,943,48,12,0,12,943,48,11,5.8,43,5,451,45
2020-03-29,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1120.27,371.76,2100,146,18,0,18,2100,146,15,59.97,962,47,642,19
2020-03-29,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,1459.54,599.44,1790,104,22,0,22,1790,104,21,1.3,38,1,712,98
2020-03-29,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1389.11,519.22,1274,86,19,0,19,1274,86,19,0.94,4,1,745,67
2020-03-30,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,865.17,379.93,1019,71,13,0,13,1019,71,13,59.84,860,45,389,36
2020-03-31,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,521.65,218.69,886,58,7,0,7,886,58,7,44.52,650,34,250,25
2020-04-01,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),942.11,326.95,1318,72,15,0,15,1318,72,14,39.96,592,30,525,14
